Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Liberia,874000000,906000000,927000000,748000000,897000000,949000000,1119000000,1373000000,1726000000,1768000000,1998000000,2398000000,2721000000,3067000000,3144000000,3177000000
Libya,38270206950,34110064452,20481889764,26265625000,33122307692,47334148578,54961936663,67516236338,87140405361,63028320702,74773444901,34699395524,81873662519,65502870174,41142722414,27842131480
St. Lucia,932592592.6,892592592.6,900000000,987407407.4,1066666667,1135555556,1268319185,1336088815,1437731111,1401507889,1486758037,1576988407,1605146778,1664816741,1755130815,1808079889
Latin America & Caribbean,2.29E+12,2.24E+12,2.01E+12,2.05E+12,2.37E+12,2.86E+12,3.36E+12,3.95E+12,4.59E+12,4.32E+12,5.35E+12,6.09E+12,6.15E+12,6.30E+12,6.43E+12,5.53E+12
Least developed countries: UN classification,2.15E+11,2.07E+11,2.28E+11,2.55E+11,2.92E+11,3.43E+11,4.02E+11,4.86E+11,5.97E+11,6.07E+11,6.91E+11,7.76E+11,8.18E+11,8.96E+11,9.68E+11,9.52E+11
Low income,1.26E+11,1.17E+11,1.27E+11,1.40E+11,1.62E+11,1.90E+11,2.23E+11,2.72E+11,3.31E+11,3.40E+11,3.83E+11,4.08E+11,4.21E+11,4.60E+11,4.98E+11,4.97E+11
Liechtenstein,2483953103,2491822707,2688630823,3070691320,3454362686,3659251526,4000239273,4601299567,5081432924,4504549214,5082366478,5739977477,5456009385,6391735894,6657170923,6268391521
Sri Lanka,16330814180,15749753805,16536535647,18881765437,20662525941,24405791045,28279814925,32350248411,40713812310,42066217872,56725749222,65292753005,68434409315,74317806538,79356449841,80604080689
Lower middle income,1.50E+12,1.53E+12,1.64E+12,1.89E+12,2.18E+12,2.54E+12,3.02E+12,3.71E+12,4.20E+12,4.27E+12,5.19E+12,5.91E+12,6.20E+12,6.31E+12,6.56E+12,6.44E+12
Low & middle income,5.92E+12,5.97E+12,6.13E+12,6.90E+12,8.20E+12,9.76E+12,1.16E+13,1.44E+13,1.72E+13,1.68E+13,2.04E+13,2.42E+13,2.57E+13,2.73E+13,2.83E+13,2.68E+13
Lesotho,887295267.9,825706961.2,775780697.7,1157832935,1511236656,1682350935,1800105590,1682016947,1766825413,1740830511,2234731974,2579421686,2477702253,2367113170,2441053176,2359759799
Late-demographic dividend,3.40E+12,3.52E+12,3.73E+12,4.25E+12,5.11E+12,6.16E+12,7.44E+12,9.37E+12,1.17E+13,1.13E+13,1.35E+13,1.65E+13,1.76E+13,1.90E+13,1.97E+13,1.85E+13
Lithuania,11524776867,12237388002,14259781159,18781721376,22627507452,26097677572,30183575104,39697891352,47797551588,37388122046,37128694028,43535051482,42927454291,46523420074,48533659592,41418872976
Luxembourg,21263514833,21272418792,23616328816,29557325056,34685281848,37347394603,42414308117,50888134410,55849686539,51370543206,53212476812,60004630234,56677961787,61739352212,66103853237,57744457955
Latvia,7949253766,8351415939,9545172806,11749456401,14401882399,16959313006,21517445448,31004884421,35756225698,26317286628,23869752327,28374734038,28324787664,30436727789,31329367173,27239653844
"Macao SAR, China",6774193548,6860272608,7371723056,8246521717,10643215078,12160002996,14874147024,18439876056,21027044551,21587740942,28241858489,36845925519,43189526778,51536304808,54903031138,45060237946
St. Martin (French part),,,,,,,,,,,,,,,,
Morocco,38857251336,39459581217,42236836821,52064058834,59626020162,62343022651,68640825481,79041294874,92507257784,92897320376,93216746662,1.01E+11,98266306615,1.07E+11,1.10E+11,1.01E+11
Monaco,2647885849,2718868306,2968987019,3601321065,4137913500,4203084194,4582988333,5867916781,6476490406,5451653237,5367625613,6088808463,5743029680,6555983530,7069616049,6261622101
Moldova,1288429392,1480673594,1661818168,1980907435,2598249556,2988348836,3408244549,4401189466,6054849885,5439422031,6974960345,8414360656,8709165249,9496684701,9510219299,7745231660
Madagascar,4629247091,5438332738,5351701534,6372498720,5064732716,5859269849,6395712392,8524620739,10725137478,9616879921,9982711030,11551821062,11578978053,12423557907,12522959157,11323023787
Maldives,624337145.3,870179738.6,897031250,1052121055,1226829563,1163362438,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351597,4109447297
Middle East & North Africa,9.88E+11,9.78E+11,9.69E+11,1.08E+12,1.27E+12,1.53E+12,1.79E+12,2.12E+12,2.66E+12,2.37E+12,2.77E+12,3.28E+12,3.58E+12,3.55E+12,3.56E+12,3.13E+12
Mexico,7.08E+11,7.57E+11,7.72E+11,7.29E+11,7.82E+11,8.77E+11,9.75E+11,1.05E+12,1.11E+12,9.00E+11,1.06E+12,1.18E+12,1.20E+12,1.27E+12,1.32E+12,1.17E+12
Marshall Islands,115347500,122824000,131738200,131398500,132440200,136559500,141515800,148346700,151898900,149769600,160407100,172188500,180436300,184840400,182142800,183814300
Middle income,5.80E+12,5.85E+12,6.00E+12,6.77E+12,8.04E+12,9.58E+12,1.14E+13,1.41E+13,1.69E+13,1.65E+13,2.00E+13,2.38E+13,2.53E+13,2.69E+13,2.78E+13,2.63E+13
North Macedonia,3773653058,3709479718,3994762861,4948324125,5682776766,6257800771,6862881738,8338305009,9911371237,9406125227,9412311666,10494822519,9743277662,10816616379,11361563307,10071243243
Mali,2961484858,3468337909,3908121459,4714072191,5454249457,6247515450,6905934548,8156469133,9838404005,10231962891,10689167195,12995113407,12442036265,13242691430,14364937997,13104764334
Malta,4069515579,4088368978,4470446391,5448415500,6098092551,6416184181,6778324050,7925371475,9090406767,8696366907,9035932122,9638916481,9462238211,10551661177,11626281387,11091434484
Myanmar,4660052520,4275404730,7630308165,8981700374,8857405670,10573312525,14575281203,25434981978,31831232215,42214048043,51518307518,54148124619,53254531558,58175459730,59640204522,60291736894
Middle East & North Africa (excluding high income),4.72E+11,4.74E+11,4.56E+11,4.99E+11,5.93E+11,6.99E+11,8.12E+11,1.00E+12,1.24E+12,1.20E+12,1.38E+12,1.57E+12,1.73E+12,1.62E+12,1.59E+12,1.43E+12
Montenegro,984297589.4,1159869246,1284685051,1707710053,2073234418,2257174481,2721903149,3680711744,4545674528,4159330370,4143033276,4544516982,4087725813,4466040643,4594024180,4054712083
Mongolia,1136896124,1267997934,1396555720,1595297356,1992066808,2523471532,3414055566,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11749620620
Northern Mariana Islands,,,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,729000000,746000000,772000000,832000000,910000000
Mozambique,5656473652,5398568544,5677003239,6303391144,7631120533,8542070110,9176889070,10450843291,12556195189,11914471497,11104648673,14381552433,16350804543,16974320551,17716084108,15950969019
Mauritania,1779523344,1746064719,1777058593,2051147607,2362501023,2936019526,3919577286,4346206809,5206444407,4714592493,5628882266,6764635687,6728208836,7223063170,6592537782,6166857629
Mauritius,4663313620,4613630623,4841310240,5816553827,6578844486,6488750453,7028803366,8150138757,9990370016,9128843109,10003670690,11518413430,11668696526,12129658758,12803438965,11692287066
Malawi,1743506531,1716502862,3495748398,3208837077,3476094499,3655909664,3998020177,4432937046,5321012192,6191127665,6959655571,8004000737,6028487929,5518880769,6047813437,6373212641
Malaysia,93789736842,92783947368,1.01E+11,1.10E+11,1.25E+11,1.44E+11,1.63E+11,1.94E+11,2.31E+11,2.02E+11,2.55E+11,2.98E+11,3.14E+11,3.23E+11,3.38E+11,3.01E+11
North America,1.10E+13,1.13E+13,1.17E+13,1.24E+13,1.32E+13,1.42E+13,1.51E+13,1.59E+13,1.63E+13,1.58E+13,1.66E+13,1.73E+13,1.80E+13,1.86E+13,1.93E+13,1.98E+13
Namibia,3922247985,3557333363,3349184762,4926471288,6609198826,7248394161,8001779553,8839526448,8607475303,8938868166,11431334447,12523402327,13042007432,12043276401,12435416063,11335179561
New Caledonia,2682347064,,,,,,,,,,,,,,,
Niger,2241753120,2448714681,2782192987,3394084885,3760443966,4383315657,4756361480,5731485267,7297600897,7352131669,7851191899,8772951262,9426913349,10224897935,10862944204,9685577941
Nigeria,69448756933,74030364472,95385819321,1.05E+11,1.36E+11,1.76E+11,2.36E+11,2.76E+11,3.37E+11,2.92E+11,3.61E+11,4.05E+11,4.56E+11,5.09E+11,5.47E+11,4.87E+11
Nicaragua,5107329007,5323146566,5224213018,5322454926,5795568205,6321335612,6763361733,7423367753,8496998229,8298679909,8758639096,9774351931,10532049077,10982979274,11880434071,12756706583
Netherlands,4.16E+11,4.31E+11,4.72E+11,5.79E+11,6.57E+11,6.85E+11,7.33E+11,8.47E+11,9.48E+11,8.68E+11,8.47E+11,9.04E+11,8.39E+11,8.77E+11,8.91E+11,7.65E+11
Norway,1.71E+11,1.74E+11,1.96E+11,2.29E+11,2.65E+11,3.09E+11,3.46E+11,4.01E+11,4.62E+11,3.86E+11,4.29E+11,4.98E+11,5.10E+11,5.23E+11,4.98E+11,3.86E+11
Nepal,5494252208,6007055042,6050875807,6330473097,7273938315,8130258041,9043715356,10325618017,12545438605,12854985464,16002656434,21621710003,21703106502,22162208956,22731602970,24360795410
Nauru,,,,,,,,,,,47564520.39,66055407.67,96927201.48,98491843.64,104654365.2,86779266.16
New Zealand,52623281957,53872425917,66627729311,88250885550,1.04E+11,1.15E+11,1.12E+11,1.37E+11,1.33E+11,1.21E+11,1.47E+11,1.68E+11,1.76E+11,1.91E+11,2.01E+11,1.78E+11
OECD members,2.75E+13,2.73E+13,2.85E+13,3.18E+13,3.55E+13,3.75E+13,3.96E+13,4.33E+13,4.59E+13,4.30E+13,4.51E+13,4.85E+13,4.85E+13,4.91E+13,5.02E+13,4.74E+13
Oman,19507452508,19452000476,20142756175,21633708220,24763713001,31081991725,37215779656,42085379489,60905452458,48388363516,56913065779,67871907375,76511069704,78555622509,80686929102,68420257567
Other small states,91416976403,90947842452,98118747588,1.22E+11,1.52E+11,1.84E+11,2.16E+11,2.64E+11,3.23E+11,2.77E+11,3.23E+11,3.97E+11,4.14E+11,4.32E+11,4.47E+11,3.71E+11
Pakistan,82017743416,79484403985,79904985385,91760542940,1.08E+11,1.20E+11,1.37E+11,1.52E+11,1.70E+11,1.68E+11,1.77E+11,2.14E+11,2.24E+11,2.31E+11,2.44E+11,2.71E+11
Panama,12304115000,12502013400,12994310400,13693981200,15013381700,16374393900,18141666300,21295984200,25155888600,27116635600,29440300000,34686200000,40429700000,45599900000,49921400000,54091800000
Peru,51744749133,52030158775,54777553515,58731030122,66768703498,76060606061,88643193062,1.02E+11,1.21E+11,1.21E+11,1.48E+11,1.72E+11,1.93E+11,2.01E+11,2.01E+11,1.90E+11
Philippines,83670261708,78921079688,84307291974,87039145965,95002028505,1.07E+11,1.28E+11,1.56E+11,1.81E+11,1.76E+11,2.08E+11,2.34E+11,2.62E+11,2.84E+11,2.97E+11,3.06E+11
Palau,146297500,156907900,163184900,153963200,165186200,190452900,192382400,198897700,198283900,187522800,185943000,196911100,212397800,221117200,241669800,280457700
Papua New Guinea,3521339699,3081024212,2999511040,3536411824,3927157867,4865892972,8355006707,9545177014,11670840932,11619637799,14250755231,17984910502,21295659244,21261432791,23210682538,21723531173
Poland,1.72E+11,1.91E+11,1.99E+11,2.18E+11,2.55E+11,3.06E+11,3.45E+11,4.29E+11,5.34E+11,4.40E+11,4.80E+11,5.28E+11,4.99E+11,5.21E+11,5.42E+11,4.78E+11
Pre-demographic dividend,2.71E+11,2.56E+11,2.94E+11,3.19E+11,3.98E+11,4.97E+11,6.28E+11,7.59E+11,9.57E+11,8.68E+11,1.03E+12,1.18E+12,1.30E+12,1.42E+12,1.50E+12,1.32E+12
Puerto Rico,61701800000,69208400000,71623500000,74827400000,80322313000,83914521300,87276164400,89524131600,93639300000,96385600000,98381300000,1.00E+11,1.02E+11,1.02E+11,1.02E+11,1.03E+11
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,
Portugal,1.18E+11,1.21E+11,1.34E+11,1.65E+11,1.89E+11,1.97E+11,2.09E+11,2.40E+11,2.62E+11,2.44E+11,2.38E+11,2.45E+11,2.16E+11,2.26E+11,2.30E+11,1.99E+11
Paraguay,8855705140,8495806432,7196260657,7691367471,9624440836,10737500188,13429430050,17856270473,24616537618,22355601273,27237782850,33756238767,33296438306,38651334288,40377987209,36211372703
West Bank and Gaza,4313600000,4003700000,3555800000,3968000000,4603100000,5125700000,5348300000,5815700000,7310400000,8085700000,9681500000,11186100000,12208400000,13515500000,13989700000,13972400000
Pacific island small states,3444921947,3395627455,3564053860,4178053061,4818328883,5329582188,5613654035,6192507684,6609313685,5916221184,6566824402,7713434654,8187035163,8498098714,9226348806,9019943659
Post-demographic dividend,2.63E+13,2.61E+13,2.72E+13,3.05E+13,3.39E+13,3.56E+13,3.75E+13,4.09E+13,4.33E+13,4.08E+13,4.26E+13,4.57E+13,4.56E+13,4.61E+13,4.71E+13,4.46E+13
French Polynesia,3447543138,,,,,,,,,,,,,,,
Qatar,17759890110,17538461538,19363736264,23533791209,31734065934,44530494505,60882142857,79712087912,1.15E+11,97798351648,1.25E+11,1.68E+11,1.87E+11,1.99E+11,2.06E+11,1.62E+11
Romania,37253259017,40394824679,46066101951,57806506024,74972669057,98452791983,1.22E+11,1.75E+11,2.14E+11,1.74E+11,1.66E+11,1.83E+11,1.71E+11,1.91E+11,2.00E+11,1.78E+11
Russian Federation,2.60E+11,3.07E+11,3.45E+11,4.30E+11,5.91E+11,7.64E+11,9.90E+11,1.30E+12,1.66E+12,1.22E+12,1.52E+12,2.05E+12,2.21E+12,2.29E+12,2.06E+12,1.36E+12
Rwanda,2067528500,1965444515,1964779921,2137093489,2375281627,2932213575,3317951468,4068065929,5177015141,5671332138,6121234529,6881038270,7650300320,7815599503,8241332517,8539048448
South Asia,6.30E+11,6.46E+11,6.78E+11,7.91E+11,9.17E+11,1.05E+12,1.20E+12,1.50E+12,1.53E+12,1.68E+12,2.06E+12,2.27E+12,2.30E+12,2.36E+12,2.58E+12,2.70E+12
Saudi Arabia,1.90E+11,1.84E+11,1.90E+11,2.16E+11,2.59E+11,3.28E+11,3.77E+11,4.16E+11,5.20E+11,4.29E+11,5.28E+11,6.71E+11,7.36E+11,7.47E+11,7.56E+11,6.54E+11
Sudan,12257418326,13182979784,14803189093,17646503525,21457470203,26524538566,35822408612,45898948564,54526580232,49957202646,65633998265,57892238678,48243204174,51215344066,61731303935,64458521787
Senegal,6046725378,6539623163,7037368538,8810461468,10133399583,11069290804,11739446874,14005710262,16853991177,16145868285,16121314671,17814284622,17660871726,18918668644,19797254643,17774766636
Singapore,96074477958,89794943350,92537752709,97645448284,1.15E+11,1.28E+11,1.49E+11,1.81E+11,1.94E+11,1.94E+11,2.40E+11,2.79E+11,2.95E+11,3.08E+11,3.15E+11,3.08E+11
Solomon Islands,419933580.9,409435392.2,346431958.3,352522682.2,397611126.7,476898763.6,538668769.3,620230005.2,699157191,735940409.7,846797693.6,1049952233,1190994127,1284698922,1335538893,1307061544
Sierra Leone,635874002.2,1090467712,1253340520,1385810072,1448536631,1650494367,1885112202,2158496873,2505458705,2453899847,2578026297,2942546781,3801862611,4920343195,5015157816,4218723875
El Salvador,11784927700,12282533600,12664190300,13243892200,13724810900,14698001400,15999886400,17011750900,17986890000,17601620000,18447920000,20283790000,21386150000,21990970000,22593460000,23438240000
San Marino,1005159388,1077413479,1168269231,1464326161,1723750000,1785847531,1908167106,2185874624,2393437820,2056126702,1881214371,1813752784,1604779648,1678841812,1673973695,1419394771
Somalia,,,,,,,,,,,,,,3892402685,3963532302,4048860871
Serbia,6875845987,12960538724,17120906918,22482365322,26141968161,27683225959,32482070360,43170990616,52194221469,45162894381,41819468692,49258136129,43309252921,48394239475,47062206678,39655958843
Sub-Saharan Africa (excluding high income),4.00E+11,3.82E+11,4.16E+11,5.22E+11,6.49E+11,7.71E+11,9.15E+11,1.06E+12,1.22E+12,1.16E+12,1.38E+12,1.55E+12,1.63E+12,1.73E+12,1.80E+12,1.65E+12
South Sudan,,,,,,,,,14586253383,12231264525,14602072411,14907308933,11931472169,18426469017,13962212847,11997800760
Sub-Saharan Africa,4.01E+11,3.83E+11,4.17E+11,5.22E+11,6.50E+11,7.72E+11,9.16E+11,1.06E+12,1.22E+12,1.16E+12,1.38E+12,1.55E+12,1.63E+12,1.74E+12,1.80E+12,1.65E+12
Small states,1.29E+11,1.30E+11,1.39E+11,1.66E+11,2.00E+11,2.38E+11,2.77E+11,3.32E+11,4.00E+11,3.43E+11,3.94E+11,4.75E+11,4.95E+11,5.14E+11,5.31E+11,4.53E+11
Sao Tome and Principe,,75951210.69,85171308.17,102085583.5,114582561.6,136450274.7,142775597.3,149146423.1,188021190.6,187820464.6,196652514.3,231489270.1,250680845.7,300554483.6,346528329.2,316066072.3
Suriname,947671969.7,834279357.8,1093574468,1274190311,1484092538,1793388732,2626380435,2936612022,3532969035,3875409836,4368398048,4422276622,4980000000,5145757576,5240606061,5126291451
Slovak Republic,29169953013,30752150336,35130340674,46816589165,57332015148,62785305310,70708098106,86454081577,1.00E+11,89046289247,90310718349,99122802874,94534730681,98848641555,1.01E+11,88467555244
Slovenia,20289627637,20876309970,23489890274,29634713641,34414784504,36206395971,39481045038,48006372844,55552509155,50368056405,48161250405,51516366655,46580457470,48401896808,49930685013,43090173395
Sweden,2.63E+11,2.42E+11,2.67E+11,3.34E+11,3.85E+11,3.92E+11,4.23E+11,4.91E+11,5.18E+11,4.37E+11,4.96E+11,5.74E+11,5.52E+11,5.87E+11,5.82E+11,5.05E+11
Eswatini,1738100853,1542477355,1432228173,2197612767,2770082822,3178126555,3291353806,3469363925,3294093364,3580417161,4438778547,4820499497,4886658806,4597702903,4422304975,4062660890
Sint Maarten (Dutch part),,,,,,,,,,,,936089385.5,985865921.8,1022905028,1245251397,1253072626
Seychelles,614879764.8,622262057.2,697518248.2,705704816,839319927.3,919103254.5,1016418229,1033561654,967199594,847397850.1,969936525.3,1065826670,1060226126,1328157609,1343007845,1377495054
Syrian Arab Republic,19325894913,21099833784,21582248882,21828144686,25086930693,28858965517,33332844575,40405006007,,,,,,,,
Turks and Caicos Islands,,358744800,366707900,409753600,485598800,578645800,721891500,773489700,862683600,703175800,686787800,728789600,727161000,754238000,841070000,942070000
Chad,1388506727,1710843361,1997005787,2742815195,4422855929,6649307057,7428701809,8650138069,10393834721,9290728773,10668102735,12172309523,12367363678,12953535496,13940768066,10950392220
East Asia & Pacific (IDA & IBRD countries),1.73E+12,1.84E+12,2.04E+12,2.31E+12,2.68E+12,3.10E+12,3.74E+12,4.73E+12,5.98E+12,6.49E+12,7.86E+12,9.60E+12,1.07E+13,1.18E+13,1.27E+13,1.33E+13
Europe & Central Asia (IDA & IBRD countries),8.94E+11,9.09E+11,1.02E+12,1.26E+12,1.63E+12,2.04E+12,2.46E+12,3.17E+12,3.92E+12,3.11E+12,3.65E+12,4.43E+12,4.63E+12,4.91E+12,4.64E+12,3.62E+12
Togo,1491891108,1482437752,1706698099,2115836353,2259992642,2281482855,2351584608,2662612348,3323677130,3379258565,3429461495,3872459250,3873308389,4321655656,4574986537,4180866177
Thailand,1.26E+11,1.20E+11,1.34E+11,1.52E+11,1.73E+11,1.89E+11,2.22E+11,2.63E+11,2.91E+11,2.82E+11,3.41E+11,3.71E+11,3.98E+11,4.20E+11,4.07E+11,4.01E+11
Tajikistan,860521119.3,1080768907,1221120799,1555301496,2076182461,2312327536,2830220713,3719506173,5161337336,4979481980,5642178580,6522732203,7633049792,8448469838,9112544556,8271454301
Turkmenistan,2904732773,3534803922,4461978499,5977560877,6838351088,8103901996,10276674365,12664165103,19271523179,20214385965,22583157895,29233333333,35164210526,39197543860,43524210526,35799714286
Latin America & the Caribbean (IDA & IBRD countries),2.18E+12,2.12E+12,1.88E+12,1.92E+12,2.23E+12,2.71E+12,3.19E+12,3.77E+12,4.41E+12,4.13E+12,5.16E+12,5.89E+12,5.94E+12,6.09E+12,6.21E+12,5.30E+12
Timor-Leste,367087900,477457500,469461100,490400300,440732900,462261800,453796000,542795300,648492700,726881600,881826900,1054725400,1147779600,1395524600,1447311400,1594410800
Middle East & North Africa (IDA & IBRD countries),4.68E+11,4.70E+11,4.52E+11,4.95E+11,5.89E+11,6.94E+11,8.07E+11,9.98E+11,1.24E+12,1.19E+12,1.38E+12,1.56E+12,1.72E+12,1.61E+12,1.58E+12,1.41E+12
Tonga,204849612.6,181116952.8,182763693.9,202246959.7,230657965.5,261797606.1,292232117.1,298513956.2,344428609,312377379.3,366840012.4,414523388.5,470714083.4,450643615.2,439878828,437006227.2
South Asia (IDA & IBRD),6.30E+11,6.46E+11,6.78E+11,7.91E+11,9.17E+11,1.05E+12,1.20E+12,1.50E+12,1.53E+12,1.68E+12,2.06E+12,2.27E+12,2.30E+12,2.36E+12,2.58E+12,2.70E+12
Sub-Saharan Africa (IDA & IBRD countries),4.01E+11,3.83E+11,4.17E+11,5.22E+11,6.50E+11,7.72E+11,9.16E+11,1.06E+12,1.22E+12,1.16E+12,1.38E+12,1.55E+12,1.63E+12,1.74E+12,1.80E+12,1.65E+12
Trinidad and Tobago,8154338233,8824873259,9008273721,11305459802,13280275123,15982282462,18369361094,21641620050,27871587350,19172165226,22157948396,25433011405,25763220107,27268478565,27615843098,24959858249
Tunisia,21473261837,22066031834,23142153760,27453007373,31183059012,32273007554,34377310293,38914078352,44860969077,43454935940,44050929160,45810626509,45044138549,46251074044,47632390882,43173531811
Turkey,2.74E+11,2.02E+11,2.40E+11,3.15E+11,4.09E+11,5.06E+11,5.57E+11,6.81E+11,7.70E+11,6.49E+11,7.77E+11,8.39E+11,8.81E+11,9.58E+11,9.39E+11,8.64E+11
Tuvalu,13742057.05,13196544.95,15450994.24,18231078.54,21534931.61,21839098.89,22902861.45,27030374.03,30290219.76,27101076.28,31823518.62,38711810.21,37671774.69,37509075.11,37290607.54,35492074.22
Tanzania,13375976354,13581644246,14142035080,15224257698,16675948415,18399046025,18649590248,21843529025,27941177435,29081425282,32014249841,34657139495,39650530214,45680532614,49964788814,47378599025
Uganda,6193246837,5840503869,6178563591,6606884391,7939487474,9239221859,9977647645,11902564401,14440404021,25019909335,26558908398,27752046902,27188667093,28791625085,32472362949,32248116473
Ukraine,31261718319,37972301335,42351593887,50084197498,64819702952,86057915585,1.08E+11,1.43E+11,1.80E+11,1.17E+11,1.36E+11,1.63E+11,1.76E+11,1.83E+11,1.34E+11,91030959455
Upper middle income,4.30E+12,4.32E+12,4.36E+12,4.88E+12,5.85E+12,7.04E+12,8.36E+12,1.04E+13,1.27E+13,1.22E+13,1.48E+13,1.78E+13,1.91E+13,2.05E+13,2.12E+13,1.99E+13
Uruguay,22823255802,20898788417,13606494599,12045631093,13686329890,17362857684,19579457966,23410572634,30366213119,31660911277,40284481652,47962439304,51264390116,57531233351,57236013086,53274304222
United States,1.03E+13,1.06E+13,1.09E+13,1.15E+13,1.22E+13,1.30E+13,1.38E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.75E+13,1.82E+13
Uzbekistan,13760513969,11401421329,9687788513,10134453435,12030023548,14307509839,17330833853,22311393928,29549438884,33689223673,46679875794,56516280748,63628854499,68997168338,76658542757,81847410182
St. Vincent and the Grenadines,396262963,430040740.7,461885185.2,481807407.4,521974074.1,550729629.6,610929629.6,684444444.4,695429629.6,674922222.2,681225925.9,676129629.6,692933333.3,721207407.4,727714814.8,755400000
"Venezuela, RB",1.17E+11,1.23E+11,92893587734,83620628582,1.12E+11,1.46E+11,1.83E+11,2.30E+11,3.16E+11,3.30E+11,3.93E+11,3.16E+11,3.81E+11,3.71E+11,4.82E+11,
British Virgin Islands,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,3269000000,3453000000,3799000000,4439000000,4504000000,4803000000,4250000000,4203000000,4339000000,4239000000,4095000000,3762000000,3622000000,3748000000
Vietnam,31172518403,32685198735,35064105501,39552513316,45427854693,57633255618,66371664817,77414425532,99130304099,1.06E+11,1.16E+11,1.36E+11,1.56E+11,1.71E+11,1.86E+11,1.93E+11
Vanuatu,272014693.1,257926881.7,262596597.8,314471328.1,364996869.1,394962552.3,439376794.1,516392922.5,590748237,592622502.4,670713208.1,770153304.2,747839697.7,758304466.2,772315721.3,730870581.7
World,3.37E+13,3.34E+13,3.47E+13,3.89E+13,4.39E+13,4.75E+13,5.15E+13,5.81E+13,6.37E+13,6.04E+13,6.62E+13,7.35E+13,7.52E+13,7.73E+13,7.95E+13,7.52E+13
Samoa,269019710.3,273088357.2,288078881.4,338838639.4,420320176.4,465568018.3,505832439.8,570469196.7,619260721.6,584706020.2,663161517.9,737401692.2,760549587.1,770021664,756919917.3,788307330.6
Kosovo,1849196082,2535333632,2406270658,2790455728,3556757429,3663101604,3846819721,4655899261,5687417607,5653792720,5835874321,6701698218,6499807272,7074777527,7396705195,6442915788
"Yemen, Rep.",9652436180,9861560095,10694628092,11777966673,13872791659,16746344766,19061978586,21650532264,26910851362,25130274124,30906749533,32726417212,35401341663,40415235702,43228585321,42445102387
South Africa,1.36E+11,1.22E+11,1.15E+11,1.75E+11,2.29E+11,2.58E+11,2.72E+11,2.99E+11,2.87E+11,2.96E+11,3.75E+11,4.16E+11,3.96E+11,3.67E+11,3.51E+11,3.18E+11
Zambia,3600683040,4094480988,4193845678,4901839731,6221077675,8331870169,12756858899,14056957976,17910858638,15328342304,20265559484,23459515276,25503060420,28037239463,27141023558,21251216799
Zimbabwe,6689957600,6777384700,6342116400,5727591800,5805598400,5755215200,5443896500,5291950100,4415702800,9665793300,12041655200,14101920300,17114849900,19091020000,19495519600,19963120600